gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,258cea3a62ac0d6eb04b5a0fd764d788,Pokemon - HeartGold Version (USA).nds,nointro,,usa,Pokemon - HeartGold Version (USA).zip,60576232
5522,Castlevania: Dawn of Sorrow,"cc0f25b8783fb83cb4588d1c111bdc18
",Castlevania - Dawn of Sorrow (USA).nds,nointro,,usa,Castlevania - Dawn of Sorrow (USA).zip,24674694
14806,Sonic Rush,bd4dcf6ad27de0e3212b8c67864df0ec,"Sonic Rush (USA) (En,Ja,Fr,De,Es,It).nds",nointro,,usa,"Sonic Rush (USA) (En,Ja,Fr,De,Es,It).zip",44996519
14763,Kirby Super Star Ultra,c0c84468ce0c9c7b3b97246ec443df1f,Kirby Super Star Ultra (USA).nds,nointro,,usa,Kirby Super Star Ultra (USA).zip,63315502
11732,Pokémon Platinum Version,d66ad7a2a0068b5d46e0781ca4953ae9,Pokemon - Platinum Version (USA).nds,nointro,,usa,Pokemon - Platinum Version (USA).zip,50714151
9983,Super Mario 64 DS,9b40c229313a024f5125513eaf73c084,"Super Mario 64 DS (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,New Super Mario Bros. (Europe) (EnFrDeEsIt).zip,17117026
9878,Tetris DS,dd12d68dff6cc5fc571374117b6ad1c4,"Tetris DS (USA, Australia).nds",nointro,,usa,Tetris DS (USA).zip,6996716
16211,Pokémon White Version,77c34ba77f8fa44e7caf04f695db0560,"Pokemon - White Version (USA, Europe) (NDSi Enhanced).nds",nointro,,usa,"Pokemon - White Version (USA, Europe) (NDSi Enhanced).zip",110798062
12711,Mario Kart DS,8cbf438d5a7c0d9acbe56a9b627ca6c5,"Mario Kart DS (USA, Australia) (En,Fr,De,Es,It).nds",nointro,,usa,"Mario Kart DS (USA) (En,Fr,De,Es,It).zip",19310901
12747,Phoenix Wright: Ace Attorney,6580f4f45f6378a08914a7784f93e7fe,Phoenix Wright - Ace Attorney (USA).nds,nointro,,usa,Phoenix Wright - Ace Attorney (USA).zip,38655460
14700,Kirby: Squeak Squad,80d8fbf4b3ed69441f4f6e4ec8b8aed9,Kirby - Squeak Squad (USA).nds,nointro,,usa,Kirby - Squeak Squad (USA).zip,14044126
14853,Pokémon Mystery Dungeon: Explorers of Sky,55f8c2296cc23bf0aa4615bea1e1181e,"Pokemon Mystery Dungeon - Explorers of Sky (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Pokemon Mystery Dungeon - Explorers of Sky (Europe) (EnFrDeEsIt).zip,65800070
9407,Castlevania: Portrait of Ruin,9d45cdbb61f211198acce8d2baac379b,"Castlevania - Portrait of Ruin (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Castlevania - Portrait of Ruin (Europe) (EnFrDeEsIt).zip,27990102
9518,Professor Layton and the Curious Village,fc519507f2e6f07c1f212ea00744e21a,"Professor Layton and the Curious Village (USA, Australia).nds",nointro,,usa,Professor Layton and the Curious Village (USA Australia).zip,53330146
7010,Castlevania: Order of Ecclesia,deaebf0c01c2a27b3a3f9db7bd2e014b,"Castlevania - Order of Ecclesia (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Castlevania - Order of Ecclesia (Europe) (EnFrDeEsIt).zip,30366349
12718,Plants vs. Zombies,76cf05a94a00998e28878ffe3e82a3ba,Plants vs. Zombies (USA).nds,nointro,,usa,Plants vs. Zombies (USA).zip,25169183
5323,Mario & Luigi: Bowser's Inside Story,b128e8292f69780efffcdb3da03577e6,"Mario & Luigi - Bowser's Inside Story (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Mario Luigi - Bowsers Inside Story (Europe) (EnFrDeEsIt).zip,65709205
5853,Pokémon Black Version 2,a7825c7d4f9ae72532297323bfeba902,"Pokemon - Black Version 2 (USA, Europe) (NDSi Enhanced).nds",nointro,,usa,Pokemon - Black Version 2 (USA Europe) (NDSi Enhanced).zip,154068254
9594,Animal Crossing: Wild World,19bfd960234b03f0113f7dc13cf7af10,"Animal Crossing - Wild World (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Animal Crossing - Wild World (Europe) (EnFrDeEsIt).zip,28714806
14811,Sonic & Sega All-Stars Racing,57f307c3bc4903783f28ad237fed9630,"Sonic & SEGA All-Stars Racing (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Sonic SEGA All-Stars Racing (Europe) (EnFrDeEsIt).zip,51605859
14323,The Legend of Zelda: Phantom Hourglass,e727e333ba706ac1f67352a287c419a3,"Legend of Zelda, The - Phantom Hourglass (USA) (En,Fr,Es).nds",nointro,,usa,Legend of Zelda The - Phantom Hourglass (USA) (EnFrEs).zip,48211868
9852,Pokémon Diamond Version,7a07da9e059739c85da7f021e8949b8c,Pokemon - Diamond Version (USA) (Rev 5).nds,nointro,,usa,Pokemon - Diamond Version (USA) (Rev 5).zip,27881076
14808,Sonic Colors,a7e1c4de56014e8e48e0f976f39f1a44,"Sonic Colors (USA) (En,Ja,Fr,De,Es,It).nds",nointro,,usa,Sonic Colors (USA) (EnJaFrDeEsIt).zip,50812498
16197,Pokémon White Version 2,b24b5463d801b87fac81381238667315,"Pokemon - White Version 2 (USA, Europe) (NDSi Enhanced).nds",nointro,,usa,Pokemon - White Version 2 (USA Europe) (NDSi Enhanced).zip,153759810
1199,WarioWare: Touched!,e08a2e48488c7370f0dfce6ac7dddc1e,"WarioWare - Touched! (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,WarioWare - Touched (Europe) (EnFrDeEsIt).zip,23442375
16298,Ace Attorney Investigations: Miles Edgeworth,97e1dd782b500833d354dd340736013e,Ace Attorney Investigations - Miles Edgeworth (USA).nds,nointro,,usa,Ace Attorney Investigations - Miles Edgeworth (USA).zip,29672325
16274,Resident Evil: Deadly Silence,aabe32cc33b3e445268889b9f3eef2ca,Resident Evil - Deadly Silence (USA).nds,nointro,,usa,Resident Evil - Deadly Silence (USA).zip,109418953
17492,Pokémon Mystery Dungeon: Blue Rescue Team,89f431748ac9c1328106c676adc6d085,"Pokemon Mystery Dungeon - Blue Rescue Team (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Pokemon Mystery Dungeon - Blue Rescue Team (Europe) (EnFrDeEsIt).zip,13624650
9093,Dragon Quest IX: Sentinels of the Starry Skies,ebb3e9ee86d520f624ffc701a912779b,"Dragon Quest IX - Sentinels of the Starry Skies (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Dragon Quest IX - Sentinels of the Starry Skies (Europe) (EnFrDeEsIt).zip,182657615
17565,Drawn To Life: SpongeBob SquarePants Edition,24e279292467f8dd61d398c0f7779bb4,"Drawn to Life - SpongeBob SquarePants Edition (Europe) (En,Fr,De,It,Nl).nds",nointro,,europe,Drawn to Life - SpongeBob SquarePants Edition (Europe) (EnFrDeItNl).zip,16183221
14807,Sonic Rush Adventure,0e2af67715835703fa53a657e3030931,"Sonic Rush Adventure (USA) (En,Ja,Fr,De,Es,It).nds",nointro,,usa,Sonic Rush Adventure (USA) (EnJaFrDeEsIt).zip,41399363
16153,Digimon World DS,2282f2a94f672c03413fe9288e36d58d,Digimon World DS (USA).nds,nointro,,usa,Digimon World DS (USA).zip,26325292
14860,Pokémon Conquest,22d1e61f6bc137b752f8728e31fa3485,"Pokemon Conquest (USA, Australia) (NDSi Enhanced).nds",nointro,,usa,Pokemon Conquest (Europe) (NDSi Enhanced).zip,75300529
9252,Super Princess Peach,d68d66fa38112e6ab59518caf2aca179,"Super Princess Peach (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Super Princess Peach (Europe) (EnFrDeEsIt).zip,13292049
9770,Dragon Quest IV: Chapters of the Chosen,fef0aa768a5a6ab490674476f04fae50,"Dragon Quest IV - Chapters of the Chosen (USA) (En,Fr,Es).nds",nointro,,usa,Dragon Quest IV - Chapters of the Chosen (USA) (EnFrEs).zip,62922571
9232,Elite Beat Agents,bbf10cada0dcc72068179c600fe79267,Elite Beat Agents (USA).nds,nointro,,usa,Elite Beat Agents (USA).zip,110438262
25369,Pokémon Pearl Version,99569210410cb13f655fc2a18a2525b4,Pokemon - Pearl Version (USA) (Rev 5).nds,nointro,,usa,Pokemon - Pearl Version (USA) (Rev 5).zip,27881090
16618,Doodle Jump Journey,671a72464381d8955c8ed90ad9bb90dd,Doodle Jump Journey (USA).nds,nointro,,usa,Doodle Jump Journey (USA).zip,979011
4958,Final Fantasy Tactics A2: Grimoire of the Rift,215d4042c498fc8348e9acabf9f9c302,"Final Fantasy Tactics A2 - Grimoire of the Rift (Europe) (En,Fr,De,Es).nds",nointro,,europe,Final Fantasy Tactics A2 - Grimoire of the Rift (Europe) (EnFrDeEs).zip,72104039
14809,Sonic Chronicles: The Dark Brotherhood,acc15a1e74de316771ee2c5fa2042dd4,"Sonic Chronicles - The Dark Brotherhood (USA) (En,Fr,De,Es,It).nds",nointro,,usa,Sonic Chronicles - The Dark Brotherhood (USA) (EnFrDeEsIt).zip,83903221
14786,Yoshi's Island DS,c7bbf6af9d6876098272e84ceee2029e,Yoshi's Island DS (USA).nds,nointro,,usa,Yoshis Island DS (USA).zip,25102033
9617,Picross 3D,76434a8ed6fa436cd9f214390577fc98,"Picross 3D (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Picross 3D (Europe) (EnFrDeEsIt).zip,25630658
11730,Mario Party DS,9aad4afbb09bc873ae819bb74f238986,"Mario Party DS (Europe) (En,Fr,De,Es,It) (Rev 1).nds",nointro,,europe,Mario Party DS (Europe) (EnFrDeEsIt).zip,28128278
9537,Phoenix Wright: Ace Attorney - Justice for All,305d9643dd405800b56a4bc0ebcd7081,Phoenix Wright - Ace Attorney - Justice for All (USA).nds,nointro,,usa,Phoenix Wright - Ace Attorney - Justice for All (USA).zip,13266710
1172,Retro Game Challenge,e8946b706009b04120c16453c14f77e6,Retro Game Challenge (USA).nds,nointro,,usa,Retro Game Challenge (USA).zip,10845997
4911,Ghost Trick: Phantom Detective,f58b3448add412176e45e7394cbea223,"Ghost Trick - Phantom Detective (USA) (En,Fr,De,Es,It).nds",nointro,,usa,Ghost Trick - Phantom Detective (USA) (EnFrDeEsIt).zip,86459654
999,"999: Nine Hours, Nine Persons, Nine Doors",7ade38ca60377a283d9f99884bc03bdc,"Nine Hours, Nine Persons, Nine Doors (USA).nds",nointro,,usa,Nine Hours Nine Persons Nine Doors (USA).zip,106145550
16254,Dragon Quest Heroes: Rocket Slime,973e6373b082ab99675d7f32c2022ef1,Dragon Quest Heroes - Rocket Slime (USA).nds,nointro,,usa,Dragon Quest Heroes - Rocket Slime (USA).zip,23023185
6616,Scribblenauts,c1cc02f11a34834c388200470abb05ee,"Scribblenauts (Europe) (En,Fr,De,Es,It,Nl).nds",nointro,,europe,Scribblenauts (Europe) (EnFrDeEsItNl).zip,14152755
15429,Dragon Ball Z: Supersonic Warriors 2,7ec61c73c0217e0616978399dac47499,"Dragon Ball Z - Supersonic Warriors 2 (Europe) (En,Fr,De,Es,It).nds",nointro,,europe,Dragon Ball Z - Supersonic Warriors 2 (Europe) (EnFrDeEsIt).zip,38292824
16363,Game & Watch Collection,420fe9e2451fdce12447527b6daa228e,"Game & Watch Collection (USA, Europe) (Club Nintendo).nds",nointro,,usa,Game Watch Collection (USA Europe) (Club Nintendo).zip,832375
5291,Tomodachi Collection,8b5692269f005fb96a79eabebb91ff32,Tomodachi Collection (Japan) (Rev 1).nds,nointro,,japan,Tomodachi Collection (Japan) (Rev 1).zip,46252876
9985,Rhythm Heaven,ac1462c2f0516f53776d81c69f3263c4,Rhythm Heaven (USA).nds,nointro,,usa,Rhythm Heaven (USA).zip,108511080
